year,sex,indig,dist_sec,sc,grc,fam_n,min_dist,dist_cap,poor,progresa,hohedu,hohwag,welfare_index,hohsex,hohage,age,village,folnum,grc97,sc97
97,0.0,0.0,4.473,1.0,7.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,13,163,1,7,1.0
98,0.0,0.0,4.473,1.0,8.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,14,163,1,7,1.0
97,1.0,0.0,4.473,1.0,6.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,12,163,2,6,1.0
98,1.0,0.0,4.473,1.0,7.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,13,163,2,6,1.0
97,0.0,0.0,4.473,1.0,2.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,8,163,3,2,1.0
98,0.0,0.0,4.473,1.0,3.0,7,21.16838403012562,21.16838403012562,pobre,0,6,0.0,583.0,1.0,35.0,9,163,3,2,1.0
97,0.0,0.0,3.154,0.0,6.0,6,127.1147801129469,154.1960026420774,pobre,basal,4,0.0,684.0,1.0,85.0,14,271,4,6,0.0
98,0.0,0.0,3.154,0.0,6.0,6,127.1147801129469,154.1960026420774,pobre,basal,4,0.0,684.0,1.0,85.0,15,271,4,6,0.0
97,1.0,0.0,3.3729999,1.0,2.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,9,263,5,2,1.0
98,1.0,0.0,3.3729999,1.0,2.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,10,263,5,2,1.0
97,0.0,0.0,3.3729999,1.0,2.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,7,263,6,2,1.0
98,0.0,0.0,3.3729999,1.0,3.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,8,263,6,2,1.0
97,0.0,0.0,3.3729999,,0.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,6,263,7,0,
98,0.0,0.0,3.3729999,1.0,1.0,5,85.30027246259445,105.8786688109714,pobre,basal,6,875.0,742.14001,1.0,26.0,7,263,7,0,
97,1.0,1.0,1.9349999,1.0,2.0,5,127.6576076683567,333.0487309508877,pobre,basal,3,500.0,552.0,1.0,98.0,10,418,8,2,1.0
98,1.0,1.0,1.9349999,1.0,3.0,5,127.6576076683567,333.0487309508877,pobre,basal,3,500.0,552.0,1.0,98.0,11,418,8,2,1.0
97,0.0,1.0,1.9349999,1.0,2.0,5,127.6576076683567,333.0487309508877,pobre,basal,3,500.0,552.0,1.0,98.0,8,418,9,2,1.0
98,0.0,1.0,1.9349999,1.0,3.0,5,127.6576076683567,333.0487309508877,pobre,basal,3,500.0,552.0,1.0,98.0,9,418,9,2,1.0
97,1.0,1.0,1.9349999,1.0,5.0,10,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,660.0,1.0,60.0,16,418,10,5,1.0
98,1.0,1.0,1.9349999,0.0,6.0,10,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,660.0,1.0,60.0,17,418,10,5,1.0
97,0.0,1.0,1.9349999,1.0,3.0,10,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,660.0,1.0,60.0,12,418,11,3,1.0
98,0.0,1.0,1.9349999,1.0,6.0,10,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,660.0,1.0,60.0,13,418,11,3,1.0
97,0.0,1.0,1.9349999,1.0,2.0,7,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,471.0,1.0,30.0,8,418,12,2,1.0
98,0.0,1.0,1.9349999,1.0,3.0,7,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,471.0,1.0,30.0,9,418,12,2,1.0
97,1.0,1.0,1.9349999,1.0,1.0,7,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,471.0,1.0,30.0,7,418,13,1,1.0
98,1.0,1.0,1.9349999,1.0,2.0,7,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,471.0,1.0,30.0,8,418,13,1,1.0
97,0.0,1.0,1.9349999,1.0,3.0,5,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,530.0,1.0,32.0,8,418,14,3,1.0
98,0.0,1.0,1.9349999,1.0,3.0,5,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,530.0,1.0,32.0,9,418,14,3,1.0
97,1.0,1.0,1.9349999,0.0,6.0,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,14,418,15,6,0.0
98,1.0,1.0,1.9349999,,,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,15,418,15,6,0.0
97,1.0,1.0,1.9349999,1.0,3.0,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,10,418,16,3,1.0
98,1.0,1.0,1.9349999,1.0,4.0,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,11,418,16,3,1.0
97,1.0,1.0,1.9349999,1.0,2.0,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,8,418,17,2,1.0
98,1.0,1.0,1.9349999,1.0,3.0,9,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,595.59998,1.0,50.0,9,418,17,2,1.0
97,0.0,1.0,1.9349999,1.0,3.0,4,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,604.0,1.0,37.0,10,418,18,3,1.0
98,0.0,1.0,1.9349999,1.0,4.0,4,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,604.0,1.0,37.0,11,418,18,3,1.0
97,0.0,1.0,1.9349999,1.0,2.0,4,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,604.0,1.0,37.0,9,418,19,2,1.0
98,0.0,1.0,1.9349999,1.0,3.0,4,127.6576076683567,333.0487309508877,pobre,basal,4,500.0,604.0,1.0,37.0,10,418,19,2,1.0
97,0.0,1.0,1.9349999,0.0,3.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,15,418,20,3,0.0
98,0.0,1.0,1.9349999,0.0,4.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,16,418,20,3,0.0
97,0.0,1.0,1.9349999,1.0,2.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,8,418,21,2,1.0
98,0.0,1.0,1.9349999,1.0,3.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,9,418,21,2,1.0
97,0.0,1.0,1.9349999,1.0,3.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,11,418,22,3,1.0
98,0.0,1.0,1.9349999,1.0,4.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,764.0,1.0,44.0,12,418,22,3,1.0
97,1.0,1.0,1.9349999,1.0,5.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,14,418,23,5,1.0
98,1.0,1.0,1.9349999,0.0,5.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,15,418,23,5,1.0
97,0.0,1.0,1.9349999,1.0,5.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,12,418,24,5,1.0
98,0.0,1.0,1.9349999,0.0,6.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,13,418,24,5,1.0
97,1.0,1.0,1.9349999,1.0,1.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,7,418,25,1,1.0
98,1.0,1.0,1.9349999,1.0,2.0,7,127.6576076683567,333.0487309508877,pobre,basal,6,480.0,618.5,1.0,36.0,8,418,25,1,1.0
97,0.0,1.0,1.9349999,0.0,6.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,631.0,1.0,41.0,15,418,26,6,0.0
98,0.0,1.0,1.9349999,0.0,6.0,6,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,631.0,1.0,41.0,16,418,26,6,0.0
97,0.0,1.0,1.9349999,0.0,6.0,8,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,459.0,1.0,49.0,16,418,27,6,0.0
98,0.0,1.0,1.9349999,,,8,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,459.0,1.0,49.0,17,418,27,6,0.0
97,1.0,1.0,1.9349999,0.0,5.0,8,127.6576076683567,333.0487309508877,pobre,basal,0,500.0,459.0,1.0,49.0,12,418,28,5,0.0
