cod_dtm,s00a1,s02af,age,s02ad,s02a17,s02a21,s02a10,s02a5,s03a2,s03a22,s03a24,attend_now,dropout,p_attend7,if_miss30,grade_now,educ,source,educ_chefe,n_moradores,n_familias,n_comodos,n_dormitorios,n_banheiros,agua_canalizada,mae_resp_le,estrato_amostral
1,11.0,52.0,52.23271731690623,1.0,3.0,4.0,2.0,1.0,5.0,,,0.0,,,,,,1.0,,4.0,1.0,4.0,1.0,0.0,,2.0,beneficiario
1,11.0,33.0,33.9110198494182,2.0,2.0,4.0,1.0,2.0,3.0,,,0.0,1.0,,,,,1.0,,4.0,1.0,4.0,1.0,0.0,,2.0,beneficiario
1,11.0,10.0,10.225872689938399,1.0,2.0,,2.0,3.0,3.0,7.0,2.0,1.0,0.0,1.0,1.0,,2.0,1.0,,4.0,1.0,4.0,1.0,0.0,,2.0,beneficiario
1,11.0,8.0,8.399726214921287,1.0,2.0,,2.0,3.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,,2.0,1.0,,4.0,1.0,4.0,1.0,0.0,,2.0,beneficiario
2,11.0,63.0,63.611225188227245,2.0,,,,,,,,,,,,,,,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,
2,11.0,27.0,27.572895277207394,2.0,1.0,3.0,1.0,1.0,5.0,,,0.0,,,,,3.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,beneficiario
2,11.0,8.0,8.76933607118412,2.0,1.0,,2.0,3.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,,2.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,beneficiario
2,11.0,5.0,5.45927446954141,1.0,3.0,,2.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,,1.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,beneficiario
2,11.0,1.0,1.3278576317590691,2.0,1.0,,2.0,3.0,5.0,,,0.0,,,,,,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,beneficiario
2,11.0,43.0,43.1813826146475,1.0,1.0,1.0,2.0,2.0,5.0,,,0.0,,,,,2.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,1.0,beneficiario
3,11.0,49.0,49.08145106091718,1.0,1.0,4.0,2.0,1.0,5.0,,,0.0,,,,,,1.0,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,beneficiario
3,11.0,48.0,45.07597535934292,2.0,1.0,4.0,,3.0,5.0,,,0.0,,,,,,1.0,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,beneficiario
3,11.0,22.0,21.883641341546888,1.0,1.0,,2.0,3.0,,,,,,,,,,,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,
3,11.0,16.0,11.099247091033538,2.0,1.0,,2.0,3.0,3.0,,,0.0,1.0,,,,,1.0,,3.0,1.0,5.0,2.0,1.0,1.0,2.0,beneficiario
4,26.0,,,,,,,,5.0,,,0.0,,,,,2.0,0.0,,3.0,1.0,5.0,3.0,1.0,1.0,1.0,controle
4,,,,,,,,,5.0,,,0.0,,,,,4.0,0.0,,3.0,1.0,5.0,3.0,1.0,1.0,1.0,controle
4,,,,,,,,,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,3.0,1.0,5.0,3.0,1.0,1.0,1.0,controle
6,11.0,,,,,,,,,,,,,,,,,,,2.0,,5.0,2.0,1.0,1.0,2.0,
6,,,,,,,,,,,,,,,,,,,,2.0,,5.0,2.0,1.0,1.0,2.0,
6,,,,,,,,,3.0,7.0,1.0,1.0,0.0,1.0,0.0,10.0,3.0,0.0,,2.0,,5.0,2.0,1.0,1.0,2.0,controle
6,,,,,,,,,3.0,7.0,1.0,1.0,0.0,1.0,0.0,8.0,2.0,0.0,,2.0,,5.0,2.0,1.0,1.0,2.0,controle
6,,,,,,,,,2.0,7.0,2.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,,2.0,,5.0,2.0,1.0,1.0,2.0,controle
6,,,,,,,,,2.0,7.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,,2.0,,5.0,2.0,1.0,1.0,2.0,controle
7,11.0,48.0,47.72621492128679,2.0,1.0,3.0,2.0,1.0,5.0,,,0.0,,,,,2.0,1.0,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,beneficiario
7,11.0,38.0,37.79329226557152,2.0,3.0,3.0,,2.0,5.0,,,0.0,,,,,,1.0,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,beneficiario
7,11.0,17.0,17.494866529774125,1.0,3.0,,2.0,3.0,3.0,7.0,1.0,1.0,0.0,1.0,0.0,,3.0,1.0,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,beneficiario
7,11.0,14.0,14.778918548939082,2.0,3.0,,2.0,3.0,3.0,7.0,2.0,1.0,0.0,1.0,0.0,,2.0,1.0,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,beneficiario
7,11.0,12.0,12.687200547570157,1.0,3.0,,,3.0,3.0,,,1.0,0.0,1.0,0.0,,2.0,1.0,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,beneficiario
7,,,,,,,,,,,,,,,,,,,2.0,5.0,2.0,7.0,4.0,1.0,1.0,2.0,
8,11.0,44.0,44.350444900752905,1.0,5.0,4.0,2.0,1.0,1.0,,,0.0,1.0,,,,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
8,11.0,43.0,43.13210130047912,2.0,5.0,4.0,1.0,2.0,2.0,,,0.0,1.0,,,,2.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
8,11.0,18.0,18.45037645448323,1.0,3.0,3.0,2.0,3.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,11.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
8,11.0,16.0,16.870636550308006,1.0,3.0,3.0,2.0,3.0,1.0,7.0,2.0,1.0,0.0,1.0,0.0,10.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,beneficiario
9,11.0,46.0,44.98836413415469,1.0,3.0,3.0,2.0,1.0,5.0,,,0.0,,,,,,1.0,,5.0,1.0,7.0,3.0,2.0,1.0,2.0,beneficiario
9,11.0,36.0,36.70362765229295,2.0,3.0,3.0,2.0,2.0,5.0,,,0.0,,,,,,1.0,,5.0,1.0,7.0,3.0,2.0,1.0,2.0,beneficiario
9,11.0,17.0,17.06776180698152,2.0,3.0,,2.0,3.0,2.0,6.0,,1.0,0.0,1.0,0.0,,3.0,1.0,,5.0,1.0,7.0,3.0,2.0,1.0,2.0,beneficiario
