cod_dtm,tr1,pscore_tr1,tr2r2,pscore_tr2r2,weight,region
1,,0.41231373,,0.5240523,1156.1277,1.0
2,,0.28995952,,0.30352464,1052.6385,1.0
3,,0.24518643,,0.51317596,955.4703,1.0
4,,0.75780165,,0.727262,1242.2445,2.0
5,,,,,696.5632,1.0
6,0.0,0.22063115,0.0,0.29284507,773.3706,1.0
7,,0.53116596,0.0,0.63623464,508.86008,1.0
8,,0.345341,1.0,0.48461077,587.20905,1.0
9,,0.5426877,,0.61766315,477.1987,1.0
10,,,,,650.09686,1.0
11,,0.52983475,,0.58870363,599.5273,1.0
12,,0.20307323,,0.30237964,17424.377,1.0
13,,,,,2649.307,1.0
14,,0.25850666,,0.4281107,1818.6523,1.0
15,,0.519136,,0.66314375,2151.0684,1.0
16,,0.4524794,,0.5966239,2104.776,1.0
17,1.0,0.6472107,1.0,0.69148326,389.74176,1.0
18,0.0,0.25625774,0.0,0.4469525,488.0109,1.0
19,,0.45945755,1.0,0.5762659,414.0834,1.0
20,,0.45792148,1.0,0.6135516,440.7946,1.0
21,,0.5208114,0.0,0.67551523,473.4993,1.0
22,,0.09360967,0.0,0.38740203,578.5545,1.0
23,,,,,494.66086,1.0
24,,0.24451292,,0.43990216,10498.299,1.0
25,,,,,873.20514,1.0
26,,,,,751.50714,1.0
27,,0.32878545,,0.4743735,864.39923,1.0
28,,0.28278056,,0.453104,883.19586,1.0
29,,0.43828017,,0.53869915,744.5021,1.0
30,0.0,0.29839355,0.0,0.496106,802.16925,1.0
31,1.0,0.42611057,1.0,0.482185,882.7114,1.0
32,1.0,0.302802,1.0,0.45799112,935.0202,1.0
33,,0.45568627,0.0,0.4557291,867.7101,1.0
34,,0.5317104,,0.57476294,4103.8545,1.0
35,,0.79925084,,0.8545518,4041.0676,1.0
36,,0.41271144,1.0,0.57717174,430.17413,1.0
37,,0.23496316,1.0,0.19836661,593.0741,1.0
38,,0.6052806,,0.67406213,544.4059,1.0
39,,0.23680677,,0.27823123,474.19473,3.0
40,,0.6394,1.0,0.69147336,504.40616,1.0
41,,0.56125635,1.0,0.5692161,304.9344,1.0
42,,,,,526.5279,1.0
43,,0.05083949,0.0,0.32792795,580.1257,1.0
44,,0.22841823,0.0,0.40280437,8117.6406,1.0
45,,,,,7770.157,1.0
46,,0.8508924,,0.8240039,912.3705,1.0
47,,0.567043,,0.6054854,1235.3888,1.0
48,,0.5149959,,0.4879133,1334.4978,1.0
49,,,,,1069.0455,1.0
50,,,,,1201.7765,1.0
51,0.0,0.3659159,0.0,0.38152876,1360.6578,1.0
52,,,,,1494.0927,1.0
53,0.0,0.15101098,0.0,0.3784891,1363.8387,1.0
54,,0.15135622,,0.39385232,1438.0757,1.0
55,0.0,0.3058982,0.0,0.29030982,1617.1127,1.0
56,0.0,0.5898715,0.0,0.61029494,1179.1786,1.0
57,,0.13658792,,0.34749404,20341.35,1.0
58,,0.8606467,,0.825733,1239.6191,1.0
59,,,,,1589.5128,1.0
60,,0.8119445,,0.7583686,1198.5969,1.0
61,1.0,0.50418985,1.0,0.5668028,813.8187,1.0
62,,,,,1119.0422,1.0
63,,,,,940.28467,1.0
64,,,,,781.48846,1.0
65,,,,,900.60034,1.0
66,0.0,0.4267992,0.0,0.44889,1162.4069,1.0
67,0.0,0.39679903,0.0,0.380847,745.4234,3.0
68,,,,,18602.111,1.0
69,,0.85620534,,0.82233596,796.266,1.0
70,,0.7568598,,0.7081391,1052.7408,1.0
71,,0.84834594,,0.8040913,777.1607,1.0
72,,0.66093355,,0.5513038,1210.4824,1.0
73,,0.82625574,0.0,0.79575044,494.50925,1.0
74,,,,,471.7064,1.0
75,,,,,513.88855,1.0
76,1.0,0.5349618,1.0,0.5703105,513.67816,1.0
77,0.0,0.82475764,0.0,0.73827213,400.20944,1.0
78,,0.44802445,0.0,0.40769255,698.36633,1.0
79,1.0,0.79476345,1.0,0.7778644,491.31393,1.0
80,,,,,13693.49,1.0
81,,,0.0,,740.917,1.0
82,,,,,845.4787,1.0
83,,0.64965147,,0.57208765,879.1724,1.0
84,,0.79381025,,0.74729234,788.5256,1.0
85,,0.312626,,0.30295983,1343.9391,1.0
86,0.0,0.64841896,0.0,0.60767096,1190.9109,1.0
87,,0.7636212,,0.71210444,767.097,1.0
88,,0.5976678,0.0,0.58465976,971.4151,1.0
89,,,,,1362.6451,1.0
90,,0.29590613,,0.3546684,1128.3231,1.0
91,,0.68920904,1.0,0.6583571,20195.805,1.0
92,,,,,566.7081,1.0
93,,0.06985731,,0.22433192,480.67975,1.0
94,,,,,716.7418,1.0
95,,0.6182133,,0.5682631,367.66977,1.0
96,,0.45282727,0.0,0.46046427,1105.6338,1.0
97,,0.6146169,1.0,0.63065404,822.71344,1.0
98,,,,,875.1328,1.0
99,,0.45668536,1.0,0.49104267,793.68195,1.0
100,,0.36418504,0.0,0.40595785,891.56915,1.0
101,,,,,621.5982,1.0
102,0.0,0.5835709,0.0,0.6198183,777.94684,1.0
103,,,,,34409.87,1.0
104,,0.20688395,,0.2092626,1220.4044,1.0
105,,0.6955836,,0.6842379,904.8747,1.0
106,,,,,627.1956,1.0
107,1.0,0.31147552,1.0,0.34106913,885.0839,1.0
108,0.0,0.34137994,0.0,0.31836408,645.4202,1.0
109,,,,,821.12177,1.0
110,,,,,821.06024,1.0
111,,0.21942754,,0.21182287,873.1516,1.0
112,0.0,0.41021657,0.0,0.3977026,769.65985,1.0
113,0.0,0.67603415,0.0,0.70816433,580.0558,1.0
114,,,,,17525.48,1.0
115,,0.089916565,,0.11474719,17873.025,1.0
116,,,,,330.85892,1.0
117,,0.13558343,,0.43600544,405.63678,1.0
118,,0.17951247,,0.20685506,494.59842,1.0
119,,0.23961098,,0.29008615,320.24075,1.0
120,0.0,0.11698329,0.0,0.25760677,627.6562,1.0
121,,0.18925966,,0.2117627,912.2215,1.0
122,0.0,0.2902912,0.0,0.41052666,938.20325,1.0
123,,0.15329494,0.0,0.30360326,859.26843,1.0
124,,0.2535726,0.0,0.43676934,585.13995,1.0
125,,0.17186396,,0.2904833,758.7667,1.0
126,,0.22563395,,0.3023474,758.66547,1.0
127,,0.1184965,,0.1633485,14727.029,1.0
128,,0.27882412,,0.4009564,259.34576,1.0
129,,0.25999802,0.0,0.42994773,255.2141,1.0
130,,0.43869138,0.0,0.5769751,312.67328,1.0
131,,0.44553298,1.0,0.5537035,214.44923,1.0
132,,0.1319326,,0.19514404,529.6905,1.0
133,,,,,604.61743,1.0
134,,0.30994385,1.0,0.5632599,664.52057,1.0
135,,0.4900365,0.0,0.6691203,519.95386,1.0
136,,0.48748544,,0.6161018,701.64343,1.0
137,,0.20958754,0.0,0.4645818,678.5482,1.0
138,,0.117668234,0.0,0.27465203,583.7276,1.0
139,,0.38582948,,0.4597868,16087.835,1.0
140,,0.5593375,,0.69029516,669.0826,1.0
141,,0.54623556,,0.6107599,698.3826,1.0
142,,0.44369695,,0.567994,795.13666,1.0
143,,0.19007392,,0.48265246,565.24304,1.0
144,,,,,533.28094,1.0
145,0.0,0.3437908,0.0,0.4947766,1034.3696,1.0
146,,0.46464148,0.0,0.582541,919.83,1.0
147,,,,,860.9056,1.0
148,,0.30991304,0.0,0.4629417,909.22003,1.0
149,,0.27494603,0.0,0.33557782,993.6613,1.0
150,,0.117261924,,0.18007645,1135.6345,1.0
151,,0.13213833,,0.23370542,16457.895,1.0
152,,0.18502022,,0.28781554,2094.697,1.0
153,,0.451377,,0.5610127,1478.3313,1.0
154,,,,,869.0192,1.0
155,,,,,770.4059,1.0
156,,0.064565144,,0.15967636,903.0529,1.0
157,,0.059850898,,0.39698622,833.43207,1.0
158,,0.08218486,,0.31627294,869.08716,1.0
159,,,,,1019.48395,1.0
160,,0.5177195,1.0,0.6645034,857.6012,1.0
161,,0.36250696,,0.44544655,871.0677,1.0
162,,0.17714421,0.0,0.15915455,4943.531,3.0
163,,,,,3220.5337,1.0
164,,0.41928798,1.0,0.4799279,1236.9486,1.0
165,,0.31144804,1.0,0.3173907,1327.214,1.0
166,,0.3298956,,0.38402793,1224.3396,1.0
167,,,,,1067.7302,1.0
168,,0.043452095,0.0,0.11705917,908.4767,1.0
169,,0.115878046,0.0,0.18472394,801.1146,1.0
170,,0.18674468,0.0,0.38445905,887.4452,1.0
171,,0.67033744,1.0,0.7892223,919.26117,1.0
172,,,,,753.7732,1.0
173,,,,,890.6728,1.0
174,,0.3765222,0.0,0.51940745,981.3891,1.0
175,,,,,9948.857,1.0
176,,,,,518.9821,1.0
177,,0.37585312,,0.45368695,518.82227,1.0
178,,0.36500677,,0.50525457,504.89804,1.0
179,,0.50209904,1.0,0.57946557,569.84094,1.0
180,,,,,836.8696,1.0
181,,0.11419464,0.0,0.2124933,672.2398,1.0
182,,,0.0,,971.33374,1.0
183,,0.25029814,0.0,0.29766324,738.2191,1.0
184,,0.31760582,,0.41691118,760.05066,1.0
185,0.0,0.07523167,0.0,0.30434287,867.8051,1.0
186,,0.41377863,,0.5350239,623.3766,1.0
187,,0.054043423,0.0,0.14773509,16838.785,1.0
188,,0.5695378,,0.7157686,815.65326,1.0
189,,0.5057208,,0.5587468,921.51105,1.0
190,,,,,795.0261,1.0
191,,0.43318358,,0.5724409,909.337,1.0
192,1.0,0.5689964,1.0,0.6158971,262.49686,1.0
193,,,,,187.2708,1.0
194,0.0,0.22938788,0.0,0.37177515,233.94472,1.0
195,0.0,0.507481,0.0,0.64464587,148.12962,1.0
196,,,,,245.93875,1.0
197,0.0,0.45174602,0.0,0.57361335,226.06894,1.0
198,,0.15171157,,0.38351476,218.74582,1.0
199,,,,,9014.902,1.0
200,,0.51772887,,0.66450924,256.07635,1.0
201,,0.57109344,,0.7349569,241.97716,1.0
202,,0.32676885,,0.5397846,273.6187,1.0
203,,0.51233304,,0.6690873,259.18726,1.0
204,,,,,283.05322,1.0
205,,,,,285.61084,1.0
206,,,,,144.25606,1.0
207,,0.077862285,,0.5278046,234.69165,1.0
208,,0.37931368,0.0,0.5214955,258.89682,1.0
209,,0.34443703,,0.5545699,220.8285,1.0
210,,,,,273.47546,1.0
211,,0.14308208,0.0,0.3534637,5726.652,1.0
212,,,,,321.69574,1.0
213,,0.6620127,,0.80819386,273.5677,1.0
214,,0.30412602,,0.57109386,293.00076,1.0
215,,0.52004,,0.7891533,297.97095,1.0
216,,0.53216213,1.0,0.7867872,232.90924,1.0
217,0.0,0.39823508,0.0,0.7059192,617.6743,1.0
218,,,,,506.9314,1.0
219,1.0,0.5898612,1.0,0.7797771,394.9667,1.0
220,1.0,0.05933669,1.0,0.57580936,371.6611,1.0
221,,,,,471.91925,1.0
222,,0.2581088,,0.46498913,491.90216,1.0
223,,0.18178122,1.0,0.5157262,9458.31,1.0
224,,0.7966239,,0.9518355,582.72345,1.0
225,,,,,759.4863,1.0
226,1.0,0.21344776,1.0,0.5338793,793.6919,1.0
227,0.0,0.35785803,0.0,0.5415524,824.66254,1.0
228,1.0,0.46619013,1.0,0.80443144,715.15594,1.0
229,0.0,0.7297141,0.0,0.89833796,685.9517,1.0
230,1.0,0.6000184,1.0,0.77229077,784.00195,1.0
231,,,,,713.4534,1.0
232,,,,,771.0352,1.0
233,0.0,0.42487586,0.0,0.75057745,590.009,1.0
234,,0.4980932,0.0,0.6689858,4109.397,1.0
235,,0.58979714,,0.7776424,4949.386,1.0
265,,0.8280962,,0.94521636,611.62683,1.0
266,,0.68474483,,0.8881589,611.6544,1.0
267,,0.79094124,,0.9343799,616.19366,1.0
268,,0.5154968,,0.83206224,686.89703,1.0
269,,,,,1180.431,1.0
270,,0.56704146,,0.8640918,1105.1501,1.0
271,1.0,0.82083154,1.0,0.9260862,1020.516,1.0
272,,,,,1057.3026,1.0
273,,,,,571.3638,1.0
274,1.0,0.58843106,1.0,0.81075895,1233.1652,1.0
275,0.0,0.53725535,0.0,0.8191043,1109.8263,1.0
276,,0.7156876,,0.8875823,12767.373,1.0
236,,0.8318209,,0.9532706,718.07715,1.0
237,,0.6941226,,0.8577485,848.4017,1.0
238,,0.71941537,,0.9006023,552.7202,1.0
239,,0.807809,,0.92650723,899.94354,1.0
240,,0.7692428,0.0,0.92528886,802.1876,1.0
241,,0.7422911,0.0,0.9022669,997.1794,1.0
242,,0.6793744,,0.8738621,1079.6283,1.0
243,,0.78124946,1.0,0.93151397,1031.8467,1.0
244,1.0,0.6717931,1.0,0.84902257,1284.82,1.0
245,1.0,0.8833345,1.0,0.97771466,983.59735,1.0
246,1.0,0.82279104,1.0,0.9391935,1083.8798,1.0
247,,0.6092505,,0.82110393,13895.631,1.0
248,,0.5303201,,0.3601359,1336.9753,1.0
249,,0.50531733,,0.3581169,1507.5538,1.0
277,,0.45280015,1.0,0.31358534,1133.6703,1.0
278,,0.5480317,,0.35749528,1747.6711,1.0
279,,,,,729.86005,1.0
250,,0.65654325,1.0,0.51775473,580.19574,1.0
251,,0.31268302,,0.22790314,1108.5303,1.0
280,1.0,0.77466565,1.0,0.5523928,868.21735,1.0
252,,,,,1010.1015,1.0
281,,0.28664157,,0.23559563,1065.5674,1.0
282,,,,,1221.0171,1.0
283,,0.24018732,0.0,0.12262956,32333.873,1.0
253,,0.75616664,,0.5246574,439.52194,1.0
254,,0.61850935,,0.3632907,474.86472,1.0
255,,0.37363526,,0.22866778,501.71115,1.0
256,,,,,424.29028,1.0
257,1.0,0.12198486,1.0,0.14446107,618.83105,4.0
258,0.0,0.2142142,0.0,0.21649006,338.15625,1.0
259,,0.69974506,0.0,0.49391267,439.60513,1.0
260,,,,,529.7359,1.0
261,,0.6686005,,0.48414555,466.00623,1.0
262,,0.43020418,,0.3014234,368.16473,1.0
263,0.0,0.1669118,0.0,0.15480204,516.2247,1.0
264,,0.38971126,0.0,0.23862992,49828.25,1.0
284,,,,,1689.3313,1.0
285,,,,,401.28885,1.0
286,,,,,629.1901,1.0
287,,,,,536.95166,1.0
288,,,,,580.216,1.0
289,,,,,781.99524,1.0
290,,,,,745.334,1.0
291,,0.8161421,1.0,0.7028748,573.2993,1.0
292,,0.9391699,,0.8323961,524.5493,1.0
293,,0.9434714,,0.36539635,180.60823,1.0
294,,,,,473.43576,1.0
295,,,,,993.14185,1.0
296,,,,,1008.9725,1.0
297,,,,,990.3161,1.0
298,,,,,803.2694,1.0
299,,,,,657.2697,1.0
300,0.0,0.5536143,0.0,0.46286666,871.24554,1.0
301,1.0,0.93288743,1.0,0.78532976,609.9229,1.0
302,,0.89222544,0.0,0.7207314,963.83734,1.0
303,,0.88291276,,0.73257065,756.39777,1.0
304,,0.97391444,,0.89033616,614.1746,1.0
305,,,,,784.5089,1.0
306,,,,,757.26996,1.0
307,,,,,938.4775,1.0
308,0.0,0.9045487,0.0,0.73180044,821.30237,1.0
309,1.0,0.96749055,1.0,0.8773925,724.03516,1.0
310,,,,,705.1708,1.0
311,,0.9430784,,0.837804,680.54956,1.0
312,,,,,771.0061,1.0
313,,,,,802.4037,1.0
314,,,,,9496.011,1.0
315,,,,,1623.4276,1.0
316,,,,,1686.0267,1.0
317,,,,,637.3854,1.0
318,,,,,524.3201,1.0
319,,,,,687.3093,1.0
320,,,,,756.9468,1.0
321,,,,,598.8101,1.0
322,,0.0764429,1.0,0.36468652,580.0026,1.0
323,,,,,637.34705,1.0
324,,,,,926.9618,1.0
325,,,,,4188.697,1.0
326,,,,,3534.9463,1.0
327,,0.5582121,0.0,0.76352733,263.51685,1.0
328,,0.8023691,,0.83892214,141.2078,1.0
329,,,,,199.35393,1.0
330,,0.78101546,,0.90073377,184.34729,1.0
331,,0.31727564,0.0,0.67584,1039.3191,1.0
332,0.0,,0.0,,898.6691,1.0
333,,0.7017016,0.0,0.79844916,920.4727,1.0
334,,0.6157304,0.0,0.7621867,1330.3951,1.0
335,,0.6569439,0.0,0.838214,1148.144,1.0
336,1.0,0.79884887,1.0,0.91982937,853.8402,1.0
337,,,,,10484.507,1.0
338,,0.2324462,1.0,0.69082814,599.3583,1.0
339,,0.09717212,,0.62860054,514.62354,1.0
340,,,,,654.7558,1.0
341,1.0,0.52929187,1.0,0.103394315,229.99023,1.0
342,,0.2629779,1.0,0.72521216,1292.3534,1.0
343,,0.49218687,,0.8140229,1146.5083,1.0
344,,,,,1160.3257,1.0
345,1.0,0.24299629,1.0,0.6865568,1323.7496,1.0
346,,0.67280847,,0.8787801,1063.8392,1.0
347,,0.077238135,,0.49754623,5781.087,1.0
348,,0.3033124,,0.5002427,317.00443,1.0
349,,,,,142.24713,1.0
350,,0.18967994,1.0,0.51486236,593.3471,1.0
351,,,,,198.30424,1.0
352,,0.048698477,,0.4298902,1182.5454,1.0
353,,,,,1037.8546,1.0
