n_criancas,attend_med,dropout_med,grade_now_med,ano,cod_dtm,grupo_ifpri,regiao,uf,n_criancas_05,renda_pc_05,educ_chefe_m_05,educ_chefe_f_05,idade_chefe_m_05,idade_chefe_f_05,sitdom_05,grupo,pos,tratado
1,1.0,,,2005,1.0,T1a,1,11,2,12.5,5,,48,29,2,T1,0,1
2,0.5,0.5,5.0,2005,3.0,T1a,1,11,1,267.5,,5,45,41,2,T1,0,1
1,1.0,0.0,6.0,2005,4.0,T1a,1,11,2,137.5,5,8,23,29,2,T1,0,1
3,1.0,0.0,4.333333333333333,2005,7.0,C2a,1,11,3,100.0,5,5,43,33,2,C2,0,0
2,1.0,0.0,6.5,2005,8.0,C2a,1,11,2,87.5,5,5,40,39,2,C2,0,0
3,1.0,0.0,4.666666666666667,2005,9.0,C2a,1,11,3,100.0,,,41,32,2,C2,0,0
1,0.0,1.0,,2005,10.0,C2a,1,11,1,100.0,,5,,39,,C2,0,0
1,1.0,0.0,2.0,2005,11.0,C2a,1,11,2,25.0,5,5,43,31,2,C2,0,0
2,1.0,0.0,3.5,2005,14.0,T1a,1,11,2,120.0,,,57,47,2,T1,0,1
1,1.0,0.0,2.0,2005,15.0,T1a,1,11,2,37.5,5,,32,30,2,T1,0,1
3,1.0,0.0,4.333333333333333,2005,17.0,C1a,1,11,3,81.66666412353516,,5,55,49,2,C1,0,0
1,1.0,0.0,6.0,2005,18.0,C1a,1,11,1,137.5,,5,,51,2,C1,0,0
3,1.0,0.0,7.333333333333333,2005,19.0,C2a,1,11,3,26.66666603088379,5,5,32,32,2,C2,0,0
3,0.6666666666666666,0.3333333333333333,4.5,2005,20.0,C2a,1,11,2,50.0,,5,39,35,2,C2,0,0
3,1.0,0.0,5.333333333333333,2005,21.0,C2a,1,11,3,90.0,5,5,35,31,2,C2,0,0
1,1.0,0.0,8.0,2005,22.0,C2a,1,11,0,150.0,,,,63,2,C2,0,0
1,1.0,0.0,5.0,2005,23.0,C2a,1,11,1,200.0,,,69,66,2,C2,0,0
2,1.0,0.0,6.5,2005,24.0,C2a,1,11,1,0.0,10,,45,35,2,C2,0,0
2,1.0,0.0,3.0,2005,25.0,C2a,1,11,2,80.5,8,,30,26,,C2,0,0
1,0.0,,,2005,26.0,T1a,1,11,3,120.0,,,26,24,2,T1,0,1
1,1.0,0.0,,2005,28.0,T1a,1,11,2,93.33333587646484,,10,,27,2,T1,0,1
2,1.0,0.0,3.5,2005,29.0,,1,11,2,100.0,5,,48,38,2,C2,0,0
1,1.0,0.0,1.0,2005,30.0,C1a,1,11,1,137.5,,,,40,2,C1,0,0
1,1.0,,,2005,31.0,C1a,1,11,1,216.6666717529297,6,6,37,42,2,C1,0,0
1,1.0,,,2005,32.0,C1a,1,11,1,100.0,5,5,38,39,2,C1,0,0
1,0.0,1.0,,2005,33.0,C2a,1,11,1,90.0,,5,,41,2,C2,0,0
2,1.0,0.0,1.5,2005,34.0,T1a,1,11,2,118.33333587646484,,5,,34,2,T1,0,1
3,1.0,0.0,5.333333333333333,2005,35.0,T1a,1,11,3,0.0,,5,,29,2,T1,0,1
2,1.0,0.0,1.0,2005,36.0,C2a,1,11,1,50.0,,,51,55,2,C2,0,0
2,1.0,0.0,4.0,2005,37.0,C2a,1,11,2,180.0,5,,31,29,2,C2,0,0
3,1.0,0.0,4.0,2005,38.0,T1a,1,11,3,236.0,,,38,32,2,T1,0,1
3,1.0,0.0,6.333333333333333,2005,39.0,T1a,1,11,2,160.0,5,5,44,34,2,T1,0,1
3,1.0,0.0,2.5,2005,40.0,C2a,1,11,3,95.0,,5,,47,2,C2,0,0
5,0.8,0.2,4.666666666666667,2005,41.0,C2a,1,11,4,117.14286041259766,,,65,34,2,C2,0,0
1,1.0,0.0,6.0,2005,42.0,C1a,1,11,1,100.0,,5,63,45,2,C1,0,0
1,1.0,0.0,4.0,2005,46.0,T1a,1,11,3,12.5,,5,,46,2,T1,0,1
1,1.0,0.0,1.0,2005,47.0,T1a,1,11,2,0.0,10,7,27,28,2,T1,0,1
1,1.0,0.0,5.0,2005,49.0,T1a,1,11,2,56.0,5,10,37,35,2,T1,0,1
3,0.6666666666666666,0.0,3.0,2005,50.0,C1a,1,11,3,162.5,,5,,32,2,C1,0,0
1,1.0,0.0,4.0,2005,51.0,C1a,1,11,1,133.3333282470703,,,,36,2,C1,0,0
1,1.0,0.0,1.0,2005,52.0,C1a,1,11,1,200.0,,10,,26,2,C1,0,0
1,1.0,0.0,5.0,2005,53.0,C1a,1,11,1,300.0,,5,,57,2,C1,0,0
1,1.0,0.0,1.0,2005,55.0,C1a,1,11,1,100.0,,5,,28,2,C1,0,0
2,1.0,0.0,5.5,2005,58.0,T1a,1,11,3,95.0,,5,,37,2,T1,0,1
1,1.0,0.0,6.0,2005,59.0,T1a,1,11,1,33.33333206176758,5,5,43,39,2,T1,0,1
3,1.0,0.0,4.0,2005,60.0,T1a,1,11,3,100.0,,,,39,2,T1,0,1
2,0.5,0.5,6.0,2005,61.0,C1a,1,11,1,100.0,,,,52,2,C1,0,0
1,1.0,0.0,4.0,2005,62.0,,1,11,1,243.3333282470703,8,8,35,32,,T1,0,1
2,1.0,0.0,7.5,2005,64.0,C1a,1,11,1,211.75,8,8,50,52,2,C1,0,0
1,1.0,0.0,4.0,2005,65.0,C2a,1,11,1,180.0,,8,,37,2,C2,0,0
3,1.0,0.0,6.666666666666667,2005,67.0,C1a,1,11,2,192.0,5,5,42,35,2,C1,0,0
2,1.0,0.0,6.0,2005,68.0,C2a,1,11,2,987.5,8,8,49,38,2,C2,0,0
3,1.0,0.0,6.0,2005,69.0,T1a,1,11,3,60.0,5,5,41,41,2,T1,0,1
1,1.0,0.0,,2005,70.0,,1,11,2,40.0,6,6,38,34,2,C2,0,0
3,1.0,0.0,,2005,71.0,T1a,1,11,3,100.0,3,3,39,36,2,T1,0,1
1,1.0,0.0,,2005,73.0,C2a,1,11,3,128.0,6,9,29,33,2,C2,0,0
3,1.0,0.0,5.333333333333333,2005,74.0,C1a,1,11,3,0.0,,,,49,2,C1,0,0
1,1.0,0.0,,2005,75.0,C2a,1,11,1,100.0,3,,60,56,2,C2,0,0
2,1.0,0.0,,2005,77.0,C1a,1,11,2,75.0,,,,54,2,C1,0,0
3,1.0,0.0,3.5,2005,79.0,C1a,1,11,3,60.0,5,5,33,31,2,C1,0,0
3,1.0,0.0,5.0,2005,80.0,,1,11,2,90.0,5,,54,40,,T1,0,1
2,0.5,0.5,3.0,2005,81.0,C2a,1,11,1,150.0,,3,49,45,,C2,0,0
3,1.0,0.0,4.666666666666667,2005,82.0,T1a,1,11,3,60.0,5,5,34,29,2,T1,0,1
2,1.0,0.0,4.0,2005,83.0,T1a,1,11,2,45.0,,,32,34,2,T1,0,1
2,1.0,0.0,4.5,2005,84.0,T1a,1,11,3,150.0,,,,46,2,T1,0,1
1,1.0,0.0,0.0,2005,85.0,C2a,1,11,1,100.0,5,5,27,29,2,C2,0,0
2,1.0,0.0,8.0,2005,86.0,C1a,1,11,1,175.0,5,8,38,34,2,C1,0,0
3,0.3333333333333333,0.5,6.0,2005,87.0,,1,11,2,120.0,,,,69,2,C2,0,0
3,1.0,0.0,3.3333333333333335,2005,88.0,C2a,1,11,3,87.5,,9,,31,2,C2,0,0
1,1.0,0.0,5.0,2005,90.0,T1a,1,11,1,400.0,5,5,44,36,2,T1,0,1
2,0.5,0.0,3.0,2005,91.0,C2a,1,11,3,94.0,5,10,40,25,2,C2,0,0
2,1.0,0.0,6.5,2005,92.0,,1,11,3,,5,5,34,35,2,T1,0,1
2,1.0,0.0,10.5,2005,93.0,T1a,1,11,0,,5,,50,36,2,T1,0,1
4,1.0,0.0,5.75,2005,95.0,T1a,1,11,3,102.5,,5,41,43,2,T1,0,1
1,1.0,,1.0,2005,96.0,C2a,1,11,1,200.0,5,5,29,25,2,C2,0,0
1,1.0,0.0,1.0,2005,97.0,C2a,1,11,2,140.0,8,8,27,30,2,C2,0,0
1,1.0,0.0,1.0,2005,98.0,C1a,1,11,1,236.0,8,5,22,32,2,C1,0,0
2,1.0,0.0,3.0,2005,99.0,C2a,1,11,2,160.0,,,49,48,2,C2,0,0
2,1.0,0.0,7.0,2005,100.0,C2a,1,11,2,212.5,8,8,39,34,2,C2,0,0
3,1.0,0.0,4.5,2005,101.0,C2a,1,11,2,96.0,,,54,41,2,C2,0,0
1,0.0,,,2005,102.0,C1a,1,11,3,60.0,5,5,49,28,2,C1,0,0
1,1.0,0.0,4.0,2005,104.0,T1a,1,11,1,187.5,8,5,44,39,2,T1,0,1
